rm -f pdml format.o zeek_csv.o
gcc -Wall -c format.c
gcc -Wall -c zeek_csv.c
gcc -Wall -o pdml format.o zeek_csv.o
[./tests/conn.log] Zeek log file being established... (0)
[./tests/conn.log]: Connection Established!
[./tests/conn.log]: #separator \x09
[./tests/conn.log]: 1760666549.586650,C5d8cz4H2S727wHrZh,172.29.147.79,55226,13.89.179.14,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666551.621270,CypsuonCS5UKDyRb,172.29.147.79,55232,13.89.179.14,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666553.838092,CUUM7z3vzfW78lOaX5,172.29.147.79,37520,20.50.201.206,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666556.137436,Cw6gKY2c1Lfm6DDv7,172.29.147.79,37536,20.50.201.206,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666547.592193,CSjgoY1qedqCXLjwmj,172.29.147.79,35503,8.8.8.8,53,udp,dns,0.020929,0,145,SHR,T,F,0,Cd,0,0,2,201,-,17
[./tests/conn.log]: 1760666558.164260,CN5W0A3re9gLPFeE95,172.29.147.79,40874,13.69.239.72,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666549.574723,CJwT4W2Ig4vFGSZcA2,172.29.147.79,40035,8.8.8.8,53,udp,dns,0.011771,0,388,SHR,T,F,0,Cd,0,0,2,444,-,17
[./tests/conn.log]: 1760666551.600988,CqhmbT3lusfszgNSu4,172.29.147.79,55566,8.8.8.8,53,udp,dns,0.020128,0,388,SHR,T,F,0,Cd,0,0,2,444,-,17
[./tests/conn.log]: 1760666553.817832,Cp0ygN1RaMDt7RzPGa,172.29.147.79,40801,8.8.8.8,53,udp,dns,0.020129,0,393,SHR,T,F,0,Cd,0,0,2,449,-,17
[./tests/conn.log]: 1760666547.660293,Cvsf0d1ickB08iqoFd,172.29.147.79,55542,140.82.112.5,443,tcp,-,13.428652,0,48449,RSTO,T,F,0,^hCdacCcRf,2,80,50,7724,-,6
[./tests/conn.log]: 1760666556.119796,C5EivG1V0ZvNY4oKo1,172.29.147.79,37019,8.8.8.8,53,udp,dns,0.017490,0,389,SHR,T,F,0,Cd,0,0,2,445,-,17
[./tests/conn.log]: 1760666558.144353,CgvodT1w4igGkHZjJ,172.29.147.79,59620,8.8.8.8,53,udp,dns,0.019698,0,393,SHR,T,F,0,Cd,0,0,2,449,-,17
[./tests/conn.log]: 1760666607.471690,CeMro128dogaoHnow1,172.29.144.1,5353,224.0.0.251,5353,udp,dns,0.001672,232,0,S0,T,T,0,D,4,344,0,0,-,17
[./tests/conn.log]: 1760666607.471988,C1XAtN24SRUgQRVZi2,fe80::4bd1:2441:31c:518d,5353,ff02::fb,5353,udp,dns,0.001078,232,0,S0,T,F,0,D,4,424,0,0,-,17
[./tests/conn.log]: 0,S0,T,T,0,D,6,1095,0,0,-,17
[./tests/conn.log]: 1760666629.117629,CnAJG9245cGk0Jaw44,fe80::4bd1:2441:31c:518d,5353,ff02::fb,5353,udp,dns,0.788818,927,0,S0,T,F,0,D,6,1215,0,0,-,17
[./tests/conn.log]: 1760666387.406067,Cn0p2t4PnNN4D8JvAj,172.29.147.79,51294,20.189.173.4,443,tcp,-,0.320407,0,5158,SHR,T,F,0,^hCdacfC,0,0,10,4090,-,6
[./tests/conn.log]: 1760666688.079786,COOO7b47CIoOEDXqdf,172.29.147.79,47506,140.82.113.6,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666690.059528,Cbw73Q27gxaT9Ybd0k,172.29.147.79,35162,20.189.173.13,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666690.231005,CYl7n24IFYHAlI86R7,172.29.147.79,48512,20.42.73.31,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666692.359467,CTpN324GQIabiH8ZTb,172.29.147.79,35176,20.189.173.13,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666692.834066,Cn5Spq2GLMNAJ45Tk,172.29.147.79,35188,20.189.173.13,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666694.393787,CR7vpKgacTs0hWfFg,172.29.147.79,48514,20.42.73.31,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666696.478271,C9EjfN1Lk84viZZa18,172.29.147.79,46610,13.89.179.10,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666692.429940,CbWiDJFXdYST0JQn1,172.29.147.79,35176,20.189.173.13,443,tcp,-,0.370878,0,5158,SHR,T,F,0,^hCadCf,0,0,16,5998,-,6
[./tests/conn.log]: 1760666688.060099,CZpgX11yyl24Ierqo4,172.29.147.79,33563,8.8.8.8,53,udp,dns,0.019482,0,164,SHR,T,F,0,Cd,0,0,2,220,-,17
[./tests/conn.log]: 1760666698.586986,CKbJfH3bT4UU35byy5,172.29.147.79,60124,20.42.73.31,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666399.299734,CIUV5t3YZHxqkQvzDg,172.29.147.79,44282,20.44.10.123,443,tcp,-,0.183056,0,5155,SHR,T,F,0,^hCdacf,0,0,10,2787,-,6
[./tests/conn.log]: 1760666690.039980,CsWlELdKjKrRSIZq,172.29.147.79,58124,8.8.8.8,53,udp,dns,0.019318,0,384,SHR,T,F,0,Cd,0,0,2,440,-,17
[./tests/conn.log]: 1760666690.214286,CjFJSH11gurOLhnGn9,172.29.147.79,51204,8.8.8.8,53,udp,dns,0.016564,0,384,SHR,T,F,0,Cd,0,0,2,440,-,17
[./tests/conn.log]: 1760666701.368502,Cl72AX1VvEJ5RrJMw4,172.29.147.79,50768,20.189.173.12,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
