ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1762276643.110905,C2PTOu1gpYLwfDS9A2,192.168.1.226,50454,52.205.16.9,443,tcp,-,60.100138,1,4876,RSTO,T,F,0,^hCadCRfR,3,120,18,5820,-,6
1762276709.703411,CGA5AF3S5EEXEB1QX9,192.168.1.226,47144,13.107.246.57,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
1762276709.699744,CGNIGsa7AjXb5Dy0k,192.168.1.226,54790,13.107.5.93,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
1762276709.930292,C2EVt81BV6g4Fny4xk,192.168.1.226,54806,13.107.5.93,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
1762276710.206997,CzIGCYwx6mVMwRnT5,192.168.1.226,54816,13.107.5.93,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
1762276705.246418,CLH4QD2Hdp5cPGTSVl,10.249.37.13,59341,17.253.127.134,443,tcp,-,0.003523,63,0,SH,T,F,0,DFT,8,668,0,0,-,6
1762276705.247957,Cb20Rg1nO45Bx60F9e,10.249.37.13,59338,35.173.11.180,443,tcp,-,0.001985,63,0,SH,T,F,0,DFT,6,438,0,0,-,6
1762276705.257957,C5pGAw4EaiKRVWOLp3,10.249.37.13,59344,17.248.195.71,443,tcp,-,0.001156,63,0,SH,T,F,0,DTF,6,438,0,0,-,6
1762276705.259149,CfAvrP2rJeeTE2jOZ1,10.249.37.13,59339,20.50.201.204,443,tcp,-,0.000195,63,0,SH,T,F,0,DTF,6,438,0,0,-,6
1762276705.270399,CfawXgNA6xjq6mS3f,10.249.37.13,59342,17.253.127.134,443,tcp,-,0.000195,63,0,SH,T,F,0,DTF,6,438,0,0,-,6
1762276705.270643,CNXh3T3DFykJvOAX8,10.249.37.13,59340,20.50.201.204,443,tcp,-,0.001564,63,0,SH,T,F,0,DTF,6,438,0,0,-,6
1762276705.272234,CbOOcz4TsZVcHsEPVb,10.249.37.13,59343,40.112.143.140,443,tcp,-,0.001316,63,0,SH,T,F,0,DTF,6,438,0,0,-,6
1762276709.944728,CLvPdH3mBEuUmyvQ0e,192.168.1.226,54806,13.107.5.93,443,tcp,-,0.098708,0,7723,SHR,T,F,0,^hCadfC,0,0,18,8455,-,6
1762276705.207107,CkHS2G2ivDUcjMtyn2,10.249.37.13,61139,128.194.254.1,53,udp,dns,0.002274,124,0,S0,T,F,0,D,4,236,0,0,-,17
1762276705.209430,CzaRA62lO0yuJuqXVa,10.249.37.13,51355,128.194.254.1,53,udp,dns,0.000098,108,0,S0,T,F,0,D,4,220,0,0,-,17
1762276705.209577,CQmtuA3Vkidn10iPlb,10.249.37.13,63321,128.194.254.1,53,udp,dns,0.001515,144,0,S0,T,F,0,D,4,256,0,0,-,17
1762276705.212779,ChEjOZ1b1ZyIaoJEu9,10.249.37.13,57610,128.194.254.1,53,udp,dns,0.001203,144,0,S0,T,F,0,D,4,256,0,0,-,17
1762276705.214031,Chvfvx47KgTIq9xVLe,10.249.37.13,52397,128.194.254.1,53,udp,dns,0.000049,216,0,S0,T,F,0,D,4,328,0,0,-,17
1762276705.214178,CGohco3PRuTRssmvc6,10.249.37.13,64275,128.194.254.1,53,udp,dns,0.002995,108,0,S0,T,F,0,D,4,220,0,0,-,17
1762276705.217222,Cealt84NaRpUQBFop5,10.249.37.13,53282,128.194.254.1,53,udp,dns,0.000099,256,0,S0,T,F,0,D,4,368,0,0,-,17
1762276705.217419,CjVFDw2jbfToZZsbhk,10.249.37.13,61365,128.194.254.1,53,udp,dns,0.001181,192,0,S0,T,F,0,D,4,304,0,0,-,17
1762276705.218649,CecJpO3wi9cW6Gohh5,10.249.37.13,62586,128.194.254.1,53,udp,dns,0.000099,244,0,S0,T,F,0,D,4,356,0,0,-,17
1762276705.218845,CFUvid2Ie3IhQPYpnf,10.249.37.13,50900,128.194.254.1,53,udp,dns,0.003587,148,0,S0,T,F,0,D,4,260,0,0,-,17
1762276705.222481,CRumM34FwYche4X5yb,10.249.37.13,52691,128.194.254.1,53,udp,dns,0.000098,216,0,S0,T,F,0,D,4,328,0,0,-,17
1762276705.222628,CHV7F71ylz3i7IJUd3,10.249.37.13,57374,128.194.254.1,53,udp,dns,0.016104,208,0,S0,T,F,0,D,4,320,0,0,-,17
1762276705.238780,CuQOEb3JJaAhDfQUJ5,10.249.37.13,63375,128.194.254.1,53,udp,dns,0.000099,208,0,S0,T,F,0,D,4,320,0,0,-,17
1762276705.238927,CDn1homHnJkBa4Tpe,10.249.37.13,51322,128.194.254.1,53,udp,dns,0.000498,216,0,S0,T,F,0,D,4,328,0,0,-,17
1762276705.239474,CUyjkPWIHf1vkNfni,10.249.37.13,65097,128.194.254.1,53,udp,dns,0.000099,244,0,S0,T,F,0,D,4,356,0,0,-,17
1762276705.239621,CUv58F1C6Y07gBQG6f,10.249.37.13,63111,128.194.254.1,53,udp,dns,0.003302,212,0,S0,T,F,0,D,4,324,0,0,-,17
1762276705.242972,C1iOLy3DqAkgzEJ2Zj,10.249.37.13,56948,128.194.254.1,53,udp,dns,0.000098,204,0,S0,T,F,0,D,4,316,0,0,-,17
1762276705.244844,CJ3ZLy2XXKvS2SyL9e,10.249.37.13,59816,128.194.254.2,53,udp,dns,0.005047,144,0,S0,T,F,0,D,4,256,0,0,-,17
1762276705.249469,CvaIyn2Tx6pPkMNOSa,10.249.37.13,56893,128.194.254.2,53,udp,dns,0.000473,62,0,S0,T,F,0,D,2,118,0,0,-,17
1762276705.249542,CMemSF4GKyjv4vS2e,10.249.37.13,58005,128.194.254.2,53,udp,dns,0.000402,54,0,S0,T,F,0,D,2,110,0,0,-,17
1762276705.250728,C86YVV2V2vv0pczCmj,10.249.37.13,55386,128.194.254.2,53,udp,dns,0.001248,72,0,S0,T,F,0,D,2,128,0,0,-,17
1762276705.250791,CEVmvL2QV2RszYIsCa,10.249.37.13,61633,128.194.254.2,53,udp,dns,0.001185,72,0,S0,T,F,0,D,2,128,0,0,-,17
1762276705.250848,C12pFk2eSJQEqoHL8l,10.249.37.13,51962,128.194.254.2,53,udp,dns,0.001177,108,0,S0,T,F,0,D,2,164,0,0,-,17
1762276705.250903,CU2EhzDlM8rBVvrX3,10.249.37.13,64053,128.194.254.2,53,udp,dns,0.001170,54,0,S0,T,F,0,D,2,110,0,0,-,17
1762276705.252565,CZ1Gqgluj5d0JJksb,10.249.37.13,52565,128.194.254.2,53,udp,dns,0.000482,128,0,S0,T,F,0,D,2,184,0,0,-,17
1762276705.252641,CahPuH1lXcM11wshL4,10.249.37.13,65410,128.194.254.2,53,udp,dns,0.000407,96,0,S0,T,F,0,D,2,152,0,0,-,17
1762276705.252717,CCw22R18V6xtA1LTz4,10.249.37.13,63238,128.194.254.2,53,udp,dns,0.000378,122,0,S0,T,F,0,D,2,178,0,0,-,17
1762276705.252786,Cticw91kpTY2E7AiTg,10.249.37.13,54572,128.194.254.2,53,udp,dns,0.000310,74,0,S0,T,F,0,D,2,130,0,0,-,17
1762276705.254074,CPCtdv2E0XEbEhRrri,10.249.37.13,53323,128.194.254.2,53,udp,dns,0.000048,108,0,S0,T,F,0,D,2,164,0,0,-,17
1762276705.254171,CyPUVj4pu9N1o1HPnc,10.249.37.13,55685,128.194.254.2,53,udp,dns,0.000001,104,0,S0,T,F,0,D,2,160,0,0,-,17
1762276705.254221,CaAqsr1Pr2P9CxyqV1,10.249.37.13,51253,128.194.254.2,53,udp,dns,0.000048,104,0,S0,T,F,0,D,2,160,0,0,-,17
1762276705.254319,CZ34Fb2aitzydtIfJf,10.249.37.13,54145,128.194.254.2,53,udp,dns,-,-,-,S0,T,F,0,D,2,164,0,0,-,17
1762276705.256425,ChM5Iy3Ljz1YND9Jzi,10.249.37.13,49942,128.194.254.2,53,udp,dns,0.000049,122,0,S0,T,F,0,D,2,178,0,0,-,17
1762276705.256523,CwcKIY3dzeMfzmuDQh,10.249.37.13,52077,128.194.254.2,53,udp,dns,0.000001,106,0,S0,T,F,0,D,2,162,0,0,-,17
1762276705.256572,Ch1HWh1SeNMAQoVU27,10.249.37.13,54904,128.194.254.2,53,udp,dns,0.000049,102,0,S0,T,F,0,D,2,158,0,0,-,17
1762276705.256622,CPs5bY1Q0tf2LpIzDe,10.249.37.13,53572,128.194.254.3,53,udp,dns,-,-,-,S0,T,F,0,D,2,128,0,0,-,17
1762276705.260925,C8dBBi3pVG522KfcP8,10.249.37.13,50388,128.194.254.3,53,udp,dns,0.000049,112,0,S0,T,F,0,D,2,168,0,0,-,17
1762276705.261023,CLVt8o4DVzsmHVj9d6,10.249.37.13,57810,128.194.254.3,53,udp,dns,-,-,-,S0,T,F,0,D,2,170,0,0,-,17
1762276705.261072,CObYbE3BrQF4sHUlqd,10.249.37.13,57004,128.194.254.3,53,udp,dns,0.000049,114,0,S0,T,F,0,D,2,170,0,0,-,17
1762276705.261121,CnkijK5bbEf9f8j0l,10.249.37.13,62396,128.194.254.3,53,udp,dns,0.000049,62,0,S0,T,F,0,D,2,118,0,0,-,17
1762276705.262367,CH2d2O48IebWHv56l,10.249.37.13,55409,128.194.254.3,53,udp,dns,0.000049,54,0,S0,T,F,0,D,2,110,0,0,-,17
1762276705.262465,CLXAPt3wgAVq0fd4j1,10.249.37.13,63510,128.194.254.3,53,udp,dns,0.000048,72,0,S0,T,F,0,D,2,128,0,0,-,17
1762276705.262563,CyUX4t4vRpeauLTB66,10.249.37.13,58453,128.194.254.3,53,udp,dns,-,-,-,S0,T,F,0,D,2,128,0,0,-,17
1762276705.262612,CfAEUS1s8N5PDXJEXf,10.249.37.13,58718,128.194.254.3,53,udp,dns,0.000049,54,0,S0,T,F,0,D,2,110,0,0,-,17
1762276705.264126,CiZUj7UkUO3OInU95,10.249.37.13,51019,128.194.254.3,53,udp,dns,0.000049,96,0,S0,T,F,0,D,2,152,0,0,-,17
1762276705.264223,CWyxSk2gp5zzJiQYvb,10.249.37.13,61252,128.194.254.3,53,udp,dns,0.000049,122,0,S0,T,F,0,D,2,178,0,0,-,17
1762276705.264322,Cu7Fnu4RbLS21KSCG2,10.249.37.13,62629,128.194.254.3,53,udp,dns,-,-,-,S0,T,F,0,D,2,178,0,0,-,17
